example data similar to 12411-03-03-4.csv
some text
some text
some text
some text
some text
some text
;;;;Insgesamt;männlich;more;more;;;;;
31.12.2016;03;Kreis-3;35 bis unter 40 Jahre;104936;50328;54608;99263;47019;52244;5673;3309;2364
31.12.2016;03;Kreis-3;40 bis unter 45 Jahre;98766;47369;51397;93426;44254;49172;5340;3115;2225
31.12.2016;03;Kreis-3;45 bis unter 50 Jahre;86425;41450;44975;81753;38725;43028;4672;2725;1947
31.12.2016;03;Kreis-3;50 bis unter 55 Jahre;61745;29613;32132;58407;27666;30741;3338;1947;1391
31.12.2016;03;Kreis-3;55 bis unter 60 Jahre;49360;23673;25687;46692;22117;24575;2668;1556;1112
31.12.2016;03;Kreis-3;60 bis unter 65 Jahre;43190;20714;22476;40855;19352;21503;2335;1362;973
31.12.2016;03;Kreis-3;65 bis unter 70 Jahre;37019;17754;19265;35018;16587;18431;2001;1167;834
31.12.2016;03;Kreis-3;70 bis unter 75 Jahre;24679;11836;12843;23345;11058;12287;1334;778;556
31.12.2016;03;Kreis-3;75 bis unter 80 Jahre;12338;5917;6421;11671;5528;6143;667;389;278
31.12.2016;03;Kreis-3;80 bis unter 85 Jahre;6167;2957;3210;5834;2763;3071;333;194;139
31.12.2016;03;Kreis-3;85 bis unter 90 Jahre;3683;1766;1917;3484;1650;1834;199;116;83
31.12.2016;03;Kreis-3;90 Jahre und mehr;2440;1170;1270;2308;1093;1215;132;77;55
31.12.2016;03;Kreis-3;Insgesamt;950437;455830;494607;899059;425864;473195;51378;29966;21412
31.12.2016;04;Kreis-4;unter 3 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;3 bis unter 6 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;6 bis unter 10 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;10 bis unter 15 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;15 bis unter 18 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;18 bis unter 20 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;20 bis unter 25 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;25 bis unter 30 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;30 bis unter 35 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;35 bis unter 40 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;40 bis unter 45 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;45 bis unter 50 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;50 bis unter 55 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;55 bis unter 60 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;60 bis unter 65 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;65 bis unter 70 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;70 bis unter 75 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;75 bis unter 80 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;80 bis unter 85 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;85 bis unter 90 Jahre;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;90 Jahre und mehr;-;-;-;-;-;-;-;-;-
31.12.2016;04;Kreis-4;Insgesamt;-;-;-;-;-;-;-;-;-
31.12.2016;DX;Kreis-5;unter 3 Jahre;83585;40088;43497;79066;37452;41614;4519;2636;1883
31.12.2016;DX;Kreis-5;3 bis unter 6 Jahre;66849;32061;34788;63235;29953;33282;3614;2108;1506
31.12.2016;DX;Kreis-5;6 bis unter 10 Jahre;100274;48092;52182;94853;44930;49923;5421;3162;2259
31.12.2016;DX;Kreis-5;10 bis unter 15 Jahre;100274;48092;52182;94853;44930;49923;5421;3162;2259
31.12.2016;DX;Kreis-5;15 bis unter 18 Jahre;83585;40088;43497;79066;37452;41614;4519;2636;1883
31.12.2016;DX;Kreis-5;18 bis unter 20 Jahre;50114;24035;26079;47405;22455;24950;2709;1580;1129
31.12.2016;DX;Kreis-5;20 bis unter 25 Jahre;183862;88182;95680;173922;82384;91538;9940;5798;4142
31.12.2016;DX;Kreis-5;25 bis unter 30 Jahre;234022;112239;121783;221370;104859;116511;12652;7380;5272
31.12.2016;DX;Kreis-5;30 bis unter 35 Jahre;234022;112239;121783;221370;104859;116511;12652;7380;5272
31.12.2016;DX;Kreis-5;35 bis unter 40 Jahre;284183;136297;147886;268819;127335;141484;15364;8962;6402
31.12.2016;DX;Kreis-5;40 bis unter 45 Jahre;267448;128271;139177;252988;119836;133152;14460;8435;6025
31.12.2016;DX;Kreis-5;45 bis unter 50 Jahre;234022;112239;121783;221370;104859;116511;12652;7380;5272
31.12.2016;DX;Kreis-5;50 bis unter 55 Jahre;167171;80177;86994;158133;74905;83228;9038;5272;3766
31.12.2016;DX;Kreis-5;55 bis unter 60 Jahre;133701;64124;69577;126473;59908;66565;7228;4216;3012
31.12.2016;DX;Kreis-5;60 bis unter 65 Jahre;117010;56119;60891;110684;52429;58255;6326;3690;2636
31.12.2016;DX;Kreis-5;65 bis unter 70 Jahre;100274;48092;52182;94853;44930;49923;5421;3162;2259
31.12.2016;DX;Kreis-5;70 bis unter 75 Jahre;66849;32061;34788;63235;29953;33282;3614;2108;1506
31.12.2016;DX;Kreis-5;75 bis unter 80 Jahre;33424;16030;17394;31617;14976;16641;1807;1054;753
31.12.2016;DX;Kreis-5;80 bis unter 85 Jahre;16689;8004;8685;15787;7478;8309;902;526;376
31.12.2016;DX;Kreis-5;85 bis unter 90 Jahre;9986;4789;5197;9446;4474;4972;540;315;225
31.12.2016;DX;Kreis-5;90 Jahre und mehr;6658;3193;3465;6298;2983;3315;360;210;150
31.12.2016;DX;Kreis-5;Insgesamt;2574002;1234512;1339490;2434843;1153340;1281503;139159;81172;57987
__________
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
some text
