Exland, Exposure to risk (period 1x1), 	Last modified: 01 Jan 2018;  Methods Protocol: vY (2017)

  Year          Age             Female            Male           Total
  2011          92             32316.38         7603.85        39920.23
  2011          93             22811.56         5702.89        28514.45
  2011          94             16158.19         3801.93        19960.12
  2011          95             10455.30         2376.20        12831.50
  2011          96              6653.37         1520.77         8174.14
  2011          97              4752.41          950.48         5702.89
  2011          98              2851.45          665.34         3516.79
  2011          99              1900.96          475.24         2376.20
  2011         100               950.48          237.62         1188.10
  2011         101               475.24          114.06          589.30
  2011         102               237.62           57.03          294.65
  2011         103               142.57           28.51          171.08
  2011         104                85.54           19.01          104.55
  2011         105                47.52            9.50           57.02
  2011         106                19.01            5.70           24.71
  2011         107                 9.50            2.85           12.35
  2011         108                 5.70            0.95            6.65
  2011         109                 9.50            1.90           11.40
  2011         110+                0.95            0.29            1.24
  2012           0            401323.45       428016.99       829340.44
  2012           1            402428.01       423598.75       826026.76
  2012           2            402243.92       424335.12       826579.04
  2012           3            393959.72       415130.45       809090.17
  2012           4            381073.19       401323.45       782396.64
  2012           5            376470.85       395800.65       772271.50
  2012           6            374629.92       393959.72       768589.64
  2012           7            384755.05       405005.32       789760.37
  2012           8            387516.45       407766.72       795283.17
  2012           9            390277.85       409607.65       799885.50
  2012          10            380152.72       398562.05       778714.77
  2012          11            364504.79       383834.59       748339.38
  2012          12            363584.32       384294.82       747879.14
  2012          13            358061.52       377391.32       735452.84
  2012          14            350697.79       369107.12       719804.91
  2012          15            351158.02       370948.05       722106.07
  2012          16            358981.99       378311.79       737293.78
  2012          17            380152.72       400402.99       780555.71
  2012          18            439062.59       461153.79       900216.38
  2012          19            477722.18       499813.38       977535.56
  2012          20            510858.98       532029.72      1042888.70
  2012          21            556882.32       580814.45      1137696.77
  2012          22            584496.31       613030.78      1197527.09
  2012          23            603826.11       636042.45      1239868.56
  2012          24            616712.65       653531.31      1270243.96
  2012          25            624996.85       667338.31      1292335.16
  2012          26            632360.58       675622.51      1307983.09
  2012          27            623155.91       665497.38      1288653.29
  2012          28            610269.38       647088.05      1257357.43
  2012          29            598303.31       632360.58      1230663.89
  2012          30            581734.91       615792.18      1197527.09
  2012          31            562405.12       596462.38      1158867.50
  2012          32            541234.38       574371.18      1115605.56
  2012          33            532029.72       563325.58      1095355.30
  2012          34            520984.12       549518.58      1070502.70
  2012          35            514540.85       537552.52      1052093.37
  2012          36            509018.05       525586.45      1034604.50
  2012          37            507177.12       520984.12      1028161.24
  2012          38            505336.18       520063.65      1025399.83
  2012          39            503495.25       519143.18      1022638.43
  2012          40            501654.32       519603.42      1021257.74
  2012          41            477722.18       498892.92       976615.10
  2012          42            438142.12       459312.85       897454.97
  2012          43            425255.59       444585.39       869840.98
  2012          44            351618.26       365425.26       717043.52
  2012          45            404084.85       418812.32       822897.17
  2012          46            467597.05       486926.85       954523.90
  2012          47            464835.65       486006.38       950842.03
  2012          48            509938.52       532029.72      1041968.24
  2012          49            578053.05       600144.25      1178197.30
  2012          50            592780.51       613030.78      1205811.29
  2012          51            571609.78       589098.65      1160708.43
  2012          52            537552.52       552279.98      1089832.50
  2012          53            518222.72       529268.32      1047491.04
  2012          54            509938.52       516381.78      1026320.30
  2012          55            489688.25       494290.58       983978.83
  2012          56            431698.85       433539.79       865238.64
  2012          57            390277.85       387516.45       777794.30
  2012          58            398562.05       390277.85       788839.90
  2012          59            419732.79       404084.85       823817.64
  2012          60            429857.92       407766.72       837624.64
  2012          61            428016.99       398562.05       826579.04
  2012          62            422494.19       374629.92       797124.11
  2012          63            422033.95       338271.49       760305.44
  2012          64            435380.72       315720.06       751100.78
  2012          65            433539.79       286265.12       719804.91
  2012          66            425255.59       261412.53       686668.12
  2012          67            432159.09       262332.99       694492.08
  2012          68            452869.59       269696.72       722566.31
  2012          69            461153.79       264173.92       725327.71
  2012          70            399482.52       223673.39       623155.91
  2012          71            370948.05       154638.40       525586.45
  2012          72            213548.26       116899.26       330447.52
  2012          73            217230.13       115978.80       333208.93
  2012          74            260492.06       134388.13       394880.19
  2012          75            331367.99       165683.99       497051.98
  2012          76            363584.32       178570.53       542154.85
  2012          77            353459.19       171206.79       524665.98
  2012          78            330447.52       155558.86       486006.38
  2012          79            308356.32       138990.46       447346.78
  2012          80            295469.79       127024.40       422494.19
  2012          81            272458.12       114137.86       386595.98
  2012          82            243923.66       100330.86       344254.52
  2012          83            215389.19        85603.40       300992.59
  2012          84            185013.79        72716.86       257730.65
  2012          85            156479.33        60750.80       217230.13
  2012          86            132547.20        48784.73       181331.93
  2012          87            110456.00        38659.60       149115.60
  2012          88             91126.20        30375.40       121501.60
  2012          89             70875.93        22091.20        92967.13
  2012          90             54307.53        15647.93        69955.46
  2012          91             41421.00        11045.60        52466.60
  2012          92             31295.87         7363.73        38659.60
  2012          93             22091.20         5522.80        27614.00
  2012          94             15647.93         3681.87        19329.80
  2012          95             10125.13         2301.17        12426.30
  2012          96              6443.27         1472.75         7916.02
  2012          97              4602.33          920.47         5522.80
  2012          98              2761.40          644.33         3405.73
  2012          99              1840.93          460.23         2301.16
  2012         100               920.47          230.12         1150.59
  2012         101               460.23          110.46          570.69
  2012         102               230.12           55.23          285.35
  2012         103               138.07           27.61          165.68
  2012         104                82.84           18.41          101.25
  2012         105                46.02            9.20           55.22
  2012         106                18.41            5.52           23.93
  2012         107                 9.20            2.76           11.96
  2012         108                 5.52            0.92            6.44
  2012         109                 9.20            1.84           11.04
  2012         110+                0.92            0.28            1.20
  2013           0            410047.88       437321.70       847369.58
  2013           1            411176.45       432807.41       843983.86
  2013           2            410988.35       433559.80       844548.15
  2013           3            402524.06       424155.03       826679.09
  2013           4            389357.39       410047.88       799405.27
  2013           5            384655.00       404405.02       789060.02
  2013           6            382774.05       402524.06       785298.11
  2013           7            393119.29       413809.78       806929.07
  2013           8            395940.73       416631.21       812571.94
  2013           9            398762.16       418512.17       817274.33
  2013          10            388416.91       407226.45       795643.36
  2013          11            372428.81       392178.82       764607.63
  2013          12            371488.33       392649.06       764137.39
  2013          13            365845.47       385595.48       751440.95
  2013          14            358321.65       377131.19       735452.84
  2013          15            358791.89       379012.14       737804.03
  2013          16            366785.94       386535.96       753321.90
  2013          17            388416.91       409107.40       797524.31
  2013          18            448607.42       471178.87       919786.29
  2013          19            488107.45       510678.89       998786.34
  2013          20            521964.61       543595.58      1065560.19
  2013          21            568988.45       593440.85      1162429.30
  2013          22            597202.76       626357.54      1223560.30
  2013          23            616952.77       649869.46      1266822.23
  2013          24            630119.44       667738.51      1297857.95
  2013          25            638583.73       681845.67      1320429.40
  2013          26            646107.55       690309.96      1336417.51
  2013          27            636702.78       679964.71      1316667.49
  2013          28            623536.11       661155.18      1284691.29
  2013          29            611309.91       646107.55      1257417.46
  2013          30            594381.33       629178.97      1223560.30
  2013          31            574631.31       609428.95      1184060.26
  2013          32            553000.35       586857.51      1139857.86
  2013          33            543595.58       575571.79      1119167.37
  2013          34            532309.86       561464.64      1093774.50
  2013          35            525726.52       549238.44      1074964.96
  2013          36            520083.66       537012.24      1057095.90
  2013          37            518202.71       532309.86      1050512.57
  2013          38            516321.75       531369.38      1047691.13
  2013          39            514440.80       530428.90      1044869.70
  2013          40            512559.85       530899.14      1043458.99
  2013          41            488107.45       509738.42       997845.87
  2013          42            447666.95       469297.91       916964.86
  2013          43            434500.27       454250.29       888750.56
  2013          44            359262.13       373369.28       732631.41
  2013          45            412869.31       427916.94       840786.25
  2013          46            477762.21       497512.22       975274.43
  2013          47            474940.77       496571.74       971512.51
  2013          48            521024.14       543595.58      1064619.72
  2013          49            590619.42       613190.86      1203810.28
  2013          50            605667.05       626357.54      1232024.59
  2013          51            584036.08       601905.14      1185941.22
  2013          52            549238.44       564286.07      1113524.51
  2013          53            529488.43       540774.15      1070262.58
  2013          54            521024.14       527607.47      1048631.61
  2013          55            500333.65       505036.03      1005369.68
  2013          56            441083.61       442964.56       884048.17
  2013          57            398762.16       395940.73       794702.89
  2013          58            407226.45       398762.16       805988.61
  2013          59            428857.41       412869.31       841726.72
  2013          60            439202.66       416631.21       855833.87
  2013          61            437321.70       407226.45       844548.15
  2013          62            431678.84       382774.05       814452.89
  2013          63            431208.60       345625.22       776833.82
  2013          64            444845.52       322583.54       767429.06
  2013          65            442964.56       292488.28       735452.84
  2013          66            434500.27       267095.41       701595.68
  2013          67            441553.85       268035.88       709589.73
  2013          68            462714.58       275559.70       738274.28
  2013          69            471178.87       269916.84       741095.71
  2013          70            408166.92       228535.86       636702.78
  2013          71            379012.14       158000.10       537012.24
  2013          72            218190.61       119440.55       337631.16
  2013          73            221952.52       118500.07       340452.59
  2013          74            266154.93       137309.61       403464.54
  2013          75            338571.64       169285.82       507857.46
  2013          76            371488.33       182452.50       553940.83
  2013          77            361143.08       174928.68       536071.76
  2013          78            337631.16       158940.58       496571.74
  2013          79            315059.72       142011.99       457071.71
  2013          80            301893.05       129785.80       431678.85
  2013          81            278381.13       116619.12       395000.25
  2013          82            249226.35       102511.97       351738.32
  2013          83            220071.57        87464.34       307535.91
  2013          84            189035.83        74297.67       263333.50
  2013          85            159881.05        62071.47       221952.52
  2013          86            135428.66        49845.27       185273.93
  2013          87            112857.21        39500.02       152357.23
  2013          88             93107.20        31035.73       124142.93
  2013          89             72416.71        22571.44        94988.15
  2013          90             55488.13        15988.11        71476.24
  2013          91             42321.46        11285.72        53607.18
  2013          92             31976.21         7523.81        39500.02
  2013          93             22571.44         5642.86        28214.30
  2013          94             15988.11         3761.91        19750.02
  2013          95             10345.24         2351.19        12696.43
  2013          96              6583.34         1504.76         8088.10
  2013          97              4702.38          940.48         5642.86
  2013          98              2821.43          658.33         3479.76
  2013          99              1880.95          470.24         2351.19
  2013         100               940.48          235.12         1175.60
  2013         101               470.24          112.86          583.10
  2013         102               235.12           56.43          291.55
  2013         103               141.07           28.21          169.28
  2013         104                84.64           18.81          103.45
  2013         105                47.02            9.40           56.42
  2013         106                18.81            5.64           24.45
  2013         107                 9.40            2.82           12.22
  2013         108                 5.64            0.94            6.58
  2013         109                 9.40            1.88           11.28
  2013         110+                0.94            0.28            1.22
  2014           0            405685.67       432669.34       838355.01
  2014           1            406802.23       428203.08       835005.31
  2014           2            406616.14       428947.46       835563.60
  2014           3            398241.89       419642.74       817884.63
  2014           4            385215.29       405685.67       790900.96
  2014           5            380562.93       400102.84       780665.77
  2014           6            378701.99       398241.89       776943.88
  2014           7            388937.17       409407.55       798344.72
  2014           8            391728.59       412198.97       803927.56
  2014           9            394520.00       414059.91       808579.91
  2014          10            384284.82       402894.25       787179.07
  2014          11            368466.80       388006.70       756473.50
  2014          12            367536.33       388471.94       756008.27
  2014          13            361953.49       381493.40       743446.89
  2014          14            354509.72       373119.16       727628.88
  2014          15            354974.96       374980.10       729955.06
  2014          16            362883.97       382423.87       745307.84
  2014          17            384284.82       404755.19       789040.01
  2014          18            443835.01       466166.33       910001.34
  2014          19            482914.82       505246.14       988160.96
  2014          20            516411.80       537812.65      1054224.45
  2014          21            562935.38       587127.65      1150063.03
  2014          22            590849.54       619694.16      1210543.70
  2014          23            610389.44       642955.95      1253345.39
  2014          24            623416.05       660634.91      1284050.96
  2014          25            631790.29       674591.99      1306382.28
  2014          26            639234.06       682966.23      1322200.29
  2014          27            629929.35       672731.05      1302660.40
  2014          28            616902.74       654121.61      1271024.35
  2014          29            604806.61       639234.06      1244040.67
  2014          30            588058.12       622485.57      1210543.69
  2014          31            568518.21       602945.67      1171463.88
  2014          32            547117.37       580614.35      1127731.72
  2014          33            537812.65       569448.69      1107261.34
  2014          34            526646.99       555491.61      1082138.60
  2014          35            520133.69       543395.48      1063529.17
  2014          36            514550.86       531299.35      1045850.21
  2014          37            512689.91       526646.99      1039336.90
  2014          38            510828.97       525716.52      1036545.49
  2014          39            508968.03       524786.04      1033754.07
  2014          40            507107.08       525251.28      1032358.36
  2014          41            482914.82       504315.67       987230.49
  2014          42            442904.53       464305.38       907209.91
  2014          43            429877.93       449417.84       879295.77
  2014          44            355440.19       369397.27       724837.46
  2014          45            408477.08       423364.63       831841.71
  2014          46            472679.63       492219.53       964899.16
  2014          47            469888.21       491289.06       961177.27
  2014          48            515481.33       537812.65      1053293.98
  2014          49            584336.23       606667.55      1191003.78
  2014          50            599223.78       619694.16      1218917.94
  2014          51            577822.93       595501.89      1173324.82
  2014          52            543395.48       558283.03      1101678.51
  2014          53            523855.57       535021.23      1058876.80
  2014          54            515481.33       521994.63      1037475.96
  2014          55            495010.95       499663.31       994674.26
  2014          56            436391.23       438252.18       874643.41
  2014          57            394520.00       391728.59       786248.59
  2014          58            402894.25       394520.00       797414.25
  2014          59            424295.10       408477.08       832772.18
  2014          60            434530.29       412198.97       846729.26
  2014          61            432669.34       402894.25       835563.59
  2014          62            427086.51       378701.99       805788.50
  2014          63            426621.28       341948.35       768569.63
  2014          64            440113.12       319151.80       759264.92
  2014          65            438252.18       289376.70       727628.88
  2014          66            429877.93       264253.97       694131.90
  2014          67            436856.47       265184.44       702040.91
  2014          68            457792.08       272628.21       730420.29
  2014          69            466166.33       267045.38       733211.71
  2014          70            403824.72       226104.63       629929.35
  2014          71            374980.10       156319.25       531299.35
  2014          72            215869.44       118169.91       334039.35
  2014          73            219591.32       117239.44       336830.76
  2014          74            263323.49       135848.87       399172.36
  2014          75            334969.82       167484.91       502454.73
  2014          76            367536.33       180511.51       548047.84
  2014          77            357301.14       173067.74       530368.88
  2014          78            334039.34       157249.72       491289.06
  2014          79            311708.02       140501.23       452209.25
  2014          80            298681.42       128405.10       427086.52
  2014          81            275419.63       115378.49       390798.12
  2014          82            246575.00       101421.42       347996.42
  2014          83            217730.38        86533.87       304264.25
  2014          84            187024.81        73507.27       260532.08
  2014          85            158180.19        61411.13       219591.32
  2014          86            133987.93        49315.00       183302.93
  2014          87            111656.61        39079.81       150736.42
  2014          88             92116.70        30705.57       122822.27
  2014          89             71646.32        22331.32        93977.64
  2014          90             54897.83        15818.02        70715.85
  2014          91             41871.23        11165.66        53036.89
  2014          92             31636.04         7443.77        39079.81
  2014          93             22331.32         5582.83        27914.15
  2014          94             15818.02         3721.89        19539.91
  2014          95             10235.19         2326.18        12561.37
  2014          96              6513.30         1488.75         8002.05
  2014          97              4652.36          930.47         5582.83
  2014          98              2791.42          651.33         3442.75
  2014          99              1860.94          465.24         2326.18
  2014         100               930.47          232.62         1163.09
  2014         101               465.24          111.66          576.90
  2014         102               232.62           55.83          288.45
  2014         103               139.57           27.91          167.48
  2014         104                83.74           18.61          102.35
  2014         105                46.52            9.30           55.82
  2014         106                18.61            5.58           24.19
  2014         107                 9.30            2.79           12.09
  2014         108                 5.58            0.93            6.51
  2014         109                 9.30            1.86           11.16
  2014         110+                0.93            0.28            1.21
  2015           0            388236.82       414059.91       802296.73
  2015           1            389305.36       409785.74       799091.10
  2015           2            389127.27       410498.11       799625.38
  2015           3            381113.21       401593.59       782706.80
  2015           4            368646.89       388236.82       756883.71
  2015           5            364194.63       382894.11       747088.74
  2015           6            362413.73       381113.21       743526.94
  2015           7            372208.69       391798.63       764007.32
  2015           8            374880.05       394469.98       769350.03
  2015           9            377551.40       396250.88       773802.28
  2015          10            367756.44       385565.47       753321.91
  2015          11            352618.76       371318.24       723937.00
  2015          12            351728.31       371763.47       723491.78
  2015          13            346385.60       365085.08       711470.68
  2015          14            339261.99       357071.02       696333.01
  2015          15            339707.22       358851.92       698559.14
  2015          16            347276.05       365975.53       713251.58
  2015          17            367756.44       387346.37       755102.81
  2015          18            424745.33       446116.16       870861.49
  2015          19            462144.29       483515.12       945659.41
  2015          20            494200.54       514680.92      1008881.46
  2015          21            538723.11       561874.85      1100597.96
  2015          22            565436.65       593040.65      1158477.30
  2015          23            584136.13       615301.93      1199438.06
  2015          24            596602.45       632220.51      1228822.96
  2015          25            604616.51       645577.28      1250193.79
  2015          26            611740.13       653591.34      1265331.47
  2015          27            602835.61       643796.38      1246631.99
  2015          28            590369.29       625987.35      1216356.64
  2015          29            578793.42       611740.13      1190533.55
  2015          30            562765.30       595712.00      1158477.30
  2015          31            544065.82       577012.52      1121078.34
  2015          32            523585.44       555641.69      1079227.13
  2015          33            514680.92       544956.27      1059637.19
  2015          34            503995.50       531599.50      1035595.00
  2015          35            497762.34       520023.63      1017785.97
  2015          36            492419.64       508447.76      1000867.40
  2015          37            490638.73       503995.50       994634.23
  2015          38            488857.83       503105.05       991962.88
  2015          39            487076.93       502214.60       989291.53
  2015          40            485296.02       502659.83       987955.85
  2015          41            462144.29       482624.67       944768.96
  2015          42            423854.88       444335.26       868190.14
  2015          43            411388.56       430088.04       841476.60
  2015          44            340152.44       353509.21       693661.65
  2015          45            390908.17       405155.40       796063.57
  2015          46            452349.32       471048.80       923398.12
  2015          47            449677.97       470158.35       919836.32
  2015          48            493310.09       514680.92      1007991.01
  2015          49            559203.49       580574.33      1139777.82
  2015          50            573450.72       593040.65      1166491.37
  2015          51            552970.33       569888.91      1122859.24
  2015          52            520023.63       534270.85      1054294.48
  2015          53            501324.15       512009.57      1013333.72
  2015          54            493310.09       499543.25       992853.34
  2015          55            473720.16       478172.41       951892.57
  2015          56            417621.72       419402.62       837024.34
  2015          57            377551.40       374880.05       752431.45
  2015          58            385565.47       377551.40       763116.87
  2015          59            406045.85       390908.17       796954.02
  2015          60            415840.81       394469.98       810310.79
  2015          61            414059.91       385565.47       799625.38
  2015          62            408717.20       362413.73       771130.93
  2015          63            408271.98       327240.90       735512.88
  2015          64            421183.52       305424.84       726608.36
  2015          65            419402.62       276930.39       696333.01
  2015          66            411388.56       252888.20       664276.76
  2015          67            418066.94       253778.65       671845.59
  2015          68            438102.10       260902.27       699004.37
  2015          69            446116.16       255559.56       701675.72
  2015          70            386455.92       216379.70       602835.62
  2015          71            358851.92       149595.84       508447.76
  2015          72            206584.73       113087.33       319672.06
  2015          73            210146.54       112196.88       322343.42
  2015          74            251997.75       130005.91       382003.66
  2015          75            320562.51       160281.26       480843.77
  2015          76            351728.31       172747.58       524475.89
  2015          77            341933.35       165623.96       507557.31
  2015          78            319672.06       150486.29       470158.35
  2015          79            298301.23       134458.16       432759.39
  2015          80            285834.91       122882.30       408717.21
  2015          81            263573.62       110415.98       373989.60
  2015          82            235969.63        97059.20       333028.83
  2015          83            208365.63        82811.98       291177.61
  2015          84            178980.74        70345.66       249326.40
  2015          85            151376.74        58769.79       210146.53
  2015          86            128225.00        47193.93       175418.93
  2015          87            106854.17        37398.96       144253.13
  2015          88             88154.69        29384.90       117539.59
  2015          89             68564.76        21370.83        89935.59
  2015          90             52536.63        15137.67        67674.30
  2015          91             40070.31        10685.42        50755.73
  2015          92             30275.35         7123.61        37398.96
  2015          93             21370.83         5342.71        26713.54
  2015          94             15137.67         3561.81        18699.48
  2015          95              9794.97         2226.13        12021.10
  2015          96              6233.16         1424.72         7657.88
  2015          97              4452.26          890.45         5342.71
  2015          98              2671.35          623.32         3294.67
  2015          99              1780.90          445.23         2226.13
  2015         100               890.45          222.61         1113.06
  2015         101               445.23          106.85          552.08
  2015         102               222.61           53.43          276.04
  2015         103               133.57           26.71          160.28
  2015         104                80.14           17.81           97.95
  2015         105                44.52            8.90           53.42
  2015         106                17.81            5.34           23.15
  2015         107                 8.90            2.67           11.57
  2015         108                 5.34            0.89            6.23
  2015         109                 8.90            1.78           10.68
  2015         110+                0.89            0.27            1.16
  2016           0            383874.61       409407.55       793282.16
  2016           1            384931.14       405181.41       790112.55
  2016           2            384755.05       405885.77       790640.82
  2016           3            376831.04       397081.30       773912.34
  2016           4            364504.79       383874.61       748379.40
  2016           5            360102.56       378591.93       738694.49
  2016           6            358341.66       376831.04       735172.70
  2016           7            368026.57       387396.39       755422.96
  2016           8            370667.91       390037.73       760705.64
  2016           9            373309.25       391798.63       765107.88
  2016          10            363624.34       381233.27       744857.61
  2016          11            348656.75       367146.13       715802.88
  2016          12            347776.31       367586.35       715362.66
  2016          13            342493.63       360983.00       703476.63
  2016          14            335450.06       353058.99       688509.05
  2016          15            335890.28       354819.88       690710.16
  2016          16            343374.08       361863.45       705237.53
  2016          17            363624.34       382994.16       746618.50
  2016          18            419972.91       441103.62       861076.53
  2016          19            456951.66       478082.37       935034.03
  2016          20            488647.72       508897.99       997545.71
  2016          21            532670.04       555561.65      1088231.69
  2016          22            559083.43       586377.27      1145460.70
  2016          23            577572.80       608388.43      1185961.23
  2016          24            589899.05       625116.91      1215015.96
  2016          25            597823.07       638323.60      1236146.67
  2016          26            604866.64       646247.62      1251114.26
  2016          27            596062.18       636562.71      1232624.89
  2016          28            583735.93       618953.78      1202689.71
  2016          29            572290.13       604866.64      1177156.77
  2016          30            556442.09       589018.61      1145460.70
  2016          31            537952.72       570529.23      1108481.95
  2016          32            517702.45       549398.52      1067100.97
  2016          33            508897.99       538833.17      1047731.16
  2016          34            498332.63       525626.47      1023959.10
  2016          35            492169.51       514180.67      1006350.18
  2016          36            486886.83       502734.87       989621.70
  2016          37            485125.94       498332.63       983458.57
  2016          38            483365.05       497452.19       980817.24
  2016          39            481604.15       496571.74       978175.89
  2016          40            479843.26       497011.96       976855.22
  2016          41            456951.66       477201.92       934153.58
  2016          42            419092.46       439342.73       858435.19
  2016          43            406766.21       425255.59       832021.80
  2016          44            336330.51       349537.20       685867.71
  2016          45            386515.95       400603.09       787119.04
  2016          46            447266.75       465756.12       913022.87
  2016          47            444625.41       464875.67       909501.08
  2016          48            487767.28       508897.99       996665.27
  2016          49            552920.31       574051.02      1126971.33
  2016          50            567007.45       586377.27      1153384.72
  2016          51            546757.18       563485.66      1110242.84
  2016          52            514180.67       528267.81      1042448.48
  2016          53            495691.29       506256.65      1001947.94
  2016          54            487767.28       493930.40       981697.68
  2016          55            468397.46       472799.69       941197.15
  2016          56            412929.34       414690.23       827619.57
  2016          57            373309.25       370667.91       743977.16
  2016          58            381233.27       373309.25       754542.52
  2016          59            401483.54       386515.95       787999.49
  2016          60            411168.44       390037.73       801206.17
  2016          61            409407.55       381233.27       790640.82
  2016          62            404124.87       358341.66       762466.53
  2016          63            403684.65       323564.03       727248.68
  2016          64            416451.12       301993.10       718444.22
  2016          65            414690.23       273818.81       688509.04
  2016          66            406766.21       250046.76       656812.97
  2016          67            413369.56       250927.21       664296.77
  2016          68            433179.60       257970.78       691150.38
  2016          69            441103.62       252688.10       693791.72
  2016          70            382113.72       213948.46       596062.18
  2016          71            354819.88       147914.99       502734.87
  2016          72            204263.55       111816.69       316080.24
  2016          73            207785.34       110936.24       318721.58
  2016          74            249166.32       128545.17       377711.49
  2016          75            316960.69       158480.34       475441.03
  2016          76            347776.31       170806.59       518582.90
  2016          77            338091.40       163763.02       501854.42
  2016          78            316080.24       148795.43       464875.67
  2016          79            294949.53       132947.40       427896.93
  2016          80            282623.28       121501.60       404124.88
  2016          81            260612.12       109175.35       369787.47
  2016          82            233318.28        95968.65       329286.93
  2016          83            206024.45        81881.51       287905.96
  2016          84            176969.72        69555.26       246524.98
  2016          85            149675.88        58109.46       207785.34
  2016          86            126784.27        46663.66       173447.93
  2016          87            105653.56        36978.75       142632.31
  2016          88             87164.19        29054.73       116218.92
  2016          89             67794.37        21130.71        88925.08
  2016          90             51946.33        14967.59        66913.92
  2016          91             39620.09        10565.36        50185.45
  2016          92             29935.18         7043.57        36978.75
  2016          93             21130.71         5282.68        26413.39
  2016          94             14967.59         3521.79        18489.38
  2016          95              9684.91         2201.12        11886.03
  2016          96              6163.12         1408.71         7571.83
  2016          97              4402.23          880.45         5282.68
  2016          98              2641.34          616.31         3257.65
  2016          99              1760.89          440.22         2201.11
  2016         100               880.45          220.11         1100.56
  2016         101               440.22          105.65          545.87
  2016         102               220.11           52.83          272.94
  2016         103               132.07           26.41          158.48
  2016         104                79.24           17.61           96.85
  2016         105                44.02            8.80           52.82
