Exland, Life tables (period 1x1), Females	Last modified: 01 Jan 2018;  Methods Protocol: vY (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2011         106      0.94646  0.64244  0.50      12       8       8       12   1.01
  2011         107      1.04734  0.68738  0.50       4       3       3        4   0.92
  2011         108      1.15898  0.73377  0.50       2       1       1        2   0.84
  2011         109      1.28252  0.78142  0.50       1       1       1        1   0.76
  2011         110+     1.41923  1.00000  0.70       1       1       1        1   0.70
  2012           0      0.00531  0.00528  0.14  100000     529   99546  7861910  78.62
  2012           1      0.00084  0.00084  0.50   99472      84   99430  7762364  78.04
  2012           2      0.00027  0.00027  0.50   99388      27   99375  7662935  77.10
  2012           3      0.00020  0.00020  0.50   99361      20   99352  7563560  76.12
  2012           4      0.00019  0.00019  0.50   99342      20   99332  7464209  75.14
  2012           5      0.00019  0.00019  0.50   99323      20   99313  7364878  74.15
  2012           6      0.00020  0.00020  0.50   99303      20   99293  7265565  73.17
  2012           7      0.00020  0.00020  0.50   99284      20   99274  7166272  72.18
  2012           8      0.00021  0.00021  0.50   99264      21   99254  7066999  71.19
  2012           9      0.00021  0.00021  0.50   99243      21   99233  6967746  70.21
  2012          10      0.00021  0.00021  0.50   99223      22   99212  6868513  69.22
  2012          11      0.00022  0.00022  0.50   99201      22   99190  6769302  68.24
  2012          12      0.00023  0.00023  0.50   99179      23   99168  6670112  67.25
  2012          13      0.00023  0.00023  0.50   99157      24   99145  6570945  66.27
  2012          14      0.00024  0.00024  0.50   99134      24   99122  6471800  65.28
  2012          15      0.00025  0.00025  0.50   99110      25   99098  6372678  64.30
  2012          16      0.00026  0.00026  0.50   99085      26   99073  6273581  63.32
  2012          17      0.00027  0.00027  0.50   99060      27   99047  6174509  62.33
  2012          18      0.00028  0.00028  0.50   99033      28   99019  6075463  61.35
  2012          19      0.00029  0.00029  0.50   99006      29   98991  5976444  60.37
  2012          20      0.00031  0.00031  0.50   98977      31   98962  5877453  59.38
  2012          21      0.00032  0.00032  0.50   98946      32   98931  5778492  58.40
  2012          22      0.00034  0.00034  0.50   98915      34   98898  5679562  57.42
  2012          23      0.00036  0.00036  0.50   98881      36   98864  5580665  56.44
  2012          24      0.00038  0.00038  0.50   98846      38   98827  5481801  55.46
  2012          25      0.00040  0.00040  0.50   98809      40   98789  5382975  54.48
  2012          26      0.00043  0.00043  0.50   98769      42   98748  5284186  53.50
  2012          27      0.00045  0.00045  0.50   98727      45   98705  5185438  52.52
  2012          28      0.00048  0.00048  0.50   98683      48   98659  5086734  51.55
  2012          29      0.00052  0.00052  0.50   98635      52   98609  4988076  50.57
  2012          30      0.00056  0.00056  0.50   98584      55   98556  4889467  49.60
  2012          31      0.00060  0.00060  0.50   98529      59   98499  4790911  48.62
  2012          32      0.00064  0.00064  0.50   98470      64   98438  4692412  47.65
  2012          33      0.00070  0.00070  0.50   98406      69   98372  4593975  46.68
  2012          34      0.00075  0.00075  0.50   98338      75   98301  4495603  45.72
  2012          35      0.00082  0.00082  0.50   98264      81   98224  4397303  44.75
  2012          36      0.00089  0.00089  0.50   98184      87   98140  4299080  43.79
  2012          37      0.00096  0.00096  0.50   98097      95   98050  4200940  42.82
  2012          38      0.00105  0.00105  0.50   98002     103   97951  4102891  41.87
  2012          39      0.00114  0.00114  0.50   97900     112   97844  4004940  40.91
  2012          40      0.00125  0.00125  0.50   97788     122   97727  3907097  39.95
  2012          41      0.00136  0.00136  0.50   97666     133   97600  3809370  39.00
  2012          42      0.00149  0.00149  0.50   97533     146   97460  3711771  38.06
  2012          43      0.00163  0.00163  0.50   97388     159   97308  3614311  37.11
  2012          44      0.00179  0.00179  0.50   97229     174   97142  3517003  36.17
  2012          45      0.00196  0.00196  0.50   97055     191   96960  3419862  35.24
  2012          46      0.00215  0.00215  0.50   96865     209   96761  3322902  34.30
  2012          47      0.00237  0.00236  0.50   96657     229   96542  3226142  33.38
  2012          48      0.00260  0.00260  0.50   96428     251   96303  3129600  32.46
  2012          49      0.00286  0.00286  0.50   96178     275   96040  3033297  31.54
  2012          50      0.00315  0.00314  0.50   95903     302   95752  2937257  30.63
  2012          51      0.00347  0.00346  0.50   95602     331   95436  2841505  29.72
  2012          52      0.00382  0.00381  0.50   95271     364   95089  2746070  28.82
  2012          53      0.00421  0.00420  0.50   94908     399   94708  2650981  27.93
  2012          54      0.00464  0.00463  0.50   94509     438   94290  2556273  27.05
  2012          55      0.00512  0.00510  0.50   94071     481   93831  2461984  26.17
  2012          56      0.00565  0.00563  0.50   93591     527   93328  2368153  25.30
  2012          57      0.00623  0.00621  0.50   93064     579   92775  2274826  24.44
  2012          58      0.00688  0.00685  0.50   92486     634   92169  2182051  23.59
  2012          59      0.00759  0.00756  0.50   91852     695   91505  2089882  22.75
  2012          60      0.00839  0.00835  0.50   91158     762   90777  1998377  21.92
  2012          61      0.00926  0.00922  0.50   90397     834   89980  1907601  21.10
  2012          62      0.01023  0.01018  0.50   89563     912   89107  1817621  20.29
  2012          63      0.01131  0.01124  0.50   88651     997   88153  1728514  19.50
  2012          64      0.01249  0.01242  0.50   87655    1089   87111  1640362  18.71
  2012          65      0.01381  0.01371  0.50   86567    1188   85973  1553252  17.94
  2012          66      0.01526  0.01515  0.50   85380    1294   84733  1467279  17.19
  2012          67      0.01687  0.01673  0.50   84086    1407   83383  1382547  16.44
  2012          68      0.01865  0.01848  0.50   82680    1528   81916  1299164  15.71
  2012          69      0.02062  0.02041  0.50   81152    1657   80323  1217249  15.00
  2012          70      0.02281  0.02255  0.50   79495    1793   78599  1136926  14.30
  2012          71      0.02522  0.02491  0.50   77702    1936   76735  1058328  13.62
  2012          72      0.02789  0.02751  0.50   75767    2085   74725   981594  12.96
  2012          73      0.03085  0.03038  0.50   73683    2239   72564   906869  12.31
  2012          74      0.03412  0.03355  0.50   71445    2397   70246   834306  11.68
  2012          75      0.03774  0.03704  0.50   69048    2558   67769   764060  11.07
  2012          76      0.04174  0.04089  0.50   66490    2719   65131   696291  10.47
  2012          77      0.04618  0.04514  0.50   63772    2879   62332   631161   9.90
  2012          78      0.05108  0.04981  0.50   60893    3034   59377   568829   9.34
  2012          79      0.05651  0.05496  0.50   57860    3180   56270   509453   8.80
  2012          80      0.06252  0.06062  0.50   54680    3315   53023   453183   8.29
  2012          81      0.06917  0.06685  0.50   51365    3434   49648   400160   7.79
  2012          82      0.07652  0.07370  0.50   47931    3533   46165   350512   7.31
  2012          83      0.08466  0.08122  0.50   44399    3607   42596   304348   6.85
  2012          84      0.09367  0.08948  0.50   40793    3651   38968   261753   6.42
  2012          85      0.10364  0.09853  0.50   37142    3660   35313   222786   6.00
  2012          86      0.11467  0.10845  0.50   33483    3632   31667   187474   5.60
  2012          87      0.12688  0.11931  0.50   29851    3562   28071   155807   5.22
  2012          88      0.14039  0.13118  0.50   26290    3449   24566   127737   4.86
  2012          89      0.15534  0.14414  0.50   22841    3293   21195   103172   4.52
  2012          90      0.17188  0.15828  0.50   19549    3095   18002    81977   4.19
  2012          91      0.19019  0.17367  0.50   16455    2858   15026    63976   3.89
  2012          92      0.21045  0.19041  0.50   13597    2589   12303    48950   3.60
  2012          93      0.23286  0.20858  0.50   11008    2296    9860    36648   3.33
  2012          94      0.25767  0.22826  0.50    8712    1989    7718    26789   3.07
  2012          95      0.28513  0.24955  0.50    6724    1678    5885    19071   2.84
  2012          96      0.31551  0.27252  0.50    5046    1375    4358    13187   2.61
  2012          97      0.34912  0.29724  0.50    3671    1091    3125     8829   2.41
  2012          98      0.38633  0.32378  0.50    2580     836    2162     5704   2.21
  2012          99      0.42749  0.35221  0.50    1745     615    1438     3542   2.03
  2012         100      0.47305  0.38256  0.50    1130     433     914     2105   1.86
  2012         101      0.52347  0.41488  0.50     698     290     553     1191   1.71
  2012         102      0.57925  0.44916  0.50     409     184     317      639   1.56
  2012         103      0.64099  0.48542  0.50     225     110     171      322   1.43
  2012         104      0.70931  0.52361  0.50     116      61      86      152   1.31
  2012         105      0.78491  0.56369  0.50      56      32      40       66   1.19
  2012         106      0.86857  0.60558  0.50      25      15      17       27   1.09
  2012         107      0.96115  0.64917  0.50      10       7       7       10   0.99
  2012         108      1.06360  0.69435  0.50       4       3       3        4   0.91
  2012         109      1.17697  0.74094  0.50       2       1       1        1   0.83
  2012         110+     1.30243  1.00000  0.77       1       1       1        1   0.77
  2013           0      0.00530  0.00528  0.14  100000     528   99546  7944998  79.45
  2013           1      0.00084  0.00084  0.50   99473      84   99431  7845453  78.87
  2013           2      0.00027  0.00027  0.50   99389      27   99375  7746022  77.94
  2013           3      0.00020  0.00020  0.50   99362      20   99352  7646648  76.96
  2013           4      0.00019  0.00019  0.50   99342      19   99333  7547296  75.97
  2013           5      0.00019  0.00019  0.50   99323      20   99314  7447963  74.99
  2013           6      0.00019  0.00019  0.50   99304      20   99295  7348650  74.00
  2013           7      0.00020  0.00020  0.50   99285      20   99275  7249356  73.02
  2013           8      0.00020  0.00020  0.50   99266      21   99256  7150081  72.03
  2013           9      0.00021  0.00021  0.50   99246      21   99235  7050826  71.04
  2013          10      0.00021  0.00021  0.50   99225      21   99215  6951591  70.06
  2013          11      0.00022  0.00022  0.50   99204      22   99194  6852377  69.07
  2013          12      0.00022  0.00022  0.50   99183      22   99172  6753184  68.09
  2013          13      0.00023  0.00023  0.50   99161      23   99150  6654012  67.10
  2013          14      0.00023  0.00023  0.50   99138      24   99127  6554863  66.12
  2013          15      0.00024  0.00024  0.50   99115      24   99103  6455737  65.13
  2013          16      0.00025  0.00025  0.50   99091      25   99079  6356634  64.15
  2013          17      0.00026  0.00026  0.50   99066      26   99054  6257556  63.17
  2013          18      0.00027  0.00027  0.50   99041      27   99027  6158503  62.18
  2013          19      0.00028  0.00028  0.50   99014      28   99000  6059476  61.20
  2013          20      0.00029  0.00029  0.50   98986      30   98972  5960476  60.22
  2013          21      0.00031  0.00031  0.50   98957      31   98942  5861505  59.23
  2013          22      0.00032  0.00032  0.50   98927      32   98911  5762564  58.25
  2013          23      0.00034  0.00034  0.50   98895      34   98878  5663654  57.27
  2013          24      0.00036  0.00036  0.50   98861      36   98843  5564777  56.29
  2013          25      0.00038  0.00038  0.50   98825      38   98807  5465934  55.31
  2013          26      0.00040  0.00040  0.50   98788      40   98768  5367128  54.33
  2013          27      0.00043  0.00043  0.50   98748      43   98727  5268360  53.35
  2013          28      0.00046  0.00046  0.50   98706      46   98683  5169634  52.37
  2013          29      0.00049  0.00049  0.50   98660      49   98636  5070952  51.40
  2013          30      0.00052  0.00052  0.50   98612      52   98586  4972316  50.42
  2013          31      0.00056  0.00056  0.50   98561      56   98533  4873730  49.45
  2013          32      0.00061  0.00060  0.50   98505      60   98475  4775198  48.48
  2013          33      0.00065  0.00065  0.50   98445      65   98413  4676723  47.51
  2013          34      0.00070  0.00070  0.50   98381      70   98347  4578310  46.54
  2013          35      0.00076  0.00076  0.50   98312      75   98275  4479964  45.57
  2013          36      0.00083  0.00083  0.50   98237      82   98197  4381690  44.60
  2013          37      0.00090  0.00090  0.50   98156      88   98112  4283494  43.64
  2013          38      0.00098  0.00097  0.50   98068      96   98020  4185382  42.68
  2013          39      0.00106  0.00106  0.50   97972     104   97920  4087362  41.72
  2013          40      0.00116  0.00116  0.50   97868     114   97812  3989443  40.76
  2013          41      0.00126  0.00126  0.50   97755     124   97693  3891631  39.81
  2013          42      0.00138  0.00138  0.50   97632     135   97564  3793938  38.86
  2013          43      0.00151  0.00151  0.50   97497     148   97423  3696375  37.91
  2013          44      0.00165  0.00165  0.50   97350     161   97269  3598952  36.97
  2013          45      0.00181  0.00181  0.50   97189     177   97101  3501683  36.03
  2013          46      0.00199  0.00199  0.50   97013     193   96916  3404583  35.09
  2013          47      0.00218  0.00218  0.50   96820     212   96714  3307667  34.16
  2013          48      0.00240  0.00240  0.50   96609     232   96493  3210953  33.24
  2013          49      0.00264  0.00264  0.50   96377     254   96250  3114461  32.32
  2013          50      0.00290  0.00290  0.50   96123     279   95984  3018212  31.40
  2013          51      0.00319  0.00319  0.50   95844     306   95691  2922228  30.49
  2013          52      0.00352  0.00351  0.50   95539     336   95371  2826537  29.59
  2013          53      0.00388  0.00387  0.50   95203     369   95019  2731167  28.69
  2013          54      0.00427  0.00426  0.50   94835     405   94633  2636149  27.80
  2013          55      0.00471  0.00470  0.50   94431     444   94209  2541516  26.91
  2013          56      0.00519  0.00518  0.50   93987     487   93743  2447308  26.04
  2013          57      0.00573  0.00571  0.50   93500     535   93233  2353565  25.17
  2013          58      0.00632  0.00630  0.50   92966     587   92673  2260333  24.31
  2013          59      0.00698  0.00696  0.50   92380     643   92058  2167661  23.46
  2013          60      0.00771  0.00768  0.50   91737     705   91385  2075603  22.63
  2013          61      0.00851  0.00848  0.50   91032     772   90647  1984219  21.80
  2013          62      0.00940  0.00936  0.50   90261     845   89838  1893573  20.98
  2013          63      0.01039  0.01033  0.50   89416     925   88954  1803735  20.17
  2013          64      0.01148  0.01141  0.50   88492    1010   87987  1714781  19.38
  2013          65      0.01268  0.01260  0.50   87482    1103   86931  1626795  18.60
  2013          66      0.01402  0.01392  0.50   86379    1203   85778  1539864  17.83
  2013          67      0.01550  0.01538  0.50   85177    1310   84522  1454087  17.07
  2013          68      0.01713  0.01699  0.50   83867    1425   83155  1369565  16.33
  2013          69      0.01894  0.01876  0.50   82443    1547   81669  1286411  15.60
  2013          70      0.02094  0.02073  0.50   80896    1677   80057  1204742  14.89
  2013          71      0.02316  0.02289  0.50   79219    1814   78312  1124685  14.20
  2013          72      0.02561  0.02529  0.50   77406    1958   76427  1046374  13.52
  2013          73      0.02832  0.02793  0.50   75448    2107   74395   969947  12.86
  2013          74      0.03132  0.03084  0.50   73341    2262   72211   895553  12.21
  2013          75      0.03465  0.03406  0.50   71080    2421   69869   823343  11.58
  2013          76      0.03832  0.03760  0.50   68659    2582   67368   753474  10.97
  2013          77      0.04239  0.04151  0.50   66077    2743   64706   686106  10.38
  2013          78      0.04689  0.04582  0.50   63334    2902   61883   621401   9.81
  2013          79      0.05187  0.05056  0.50   60433    3056   58905   559518   9.26
  2013          80      0.05739  0.05579  0.50   57377    3201   55777   500614   8.73
  2013          81      0.06349  0.06153  0.50   54176    3334   52509   444838   8.21
  2013          82      0.07024  0.06785  0.50   50843    3450   49118   392329   7.72
  2013          83      0.07771  0.07480  0.50   47393    3546   45620   343211   7.24
  2013          84      0.08598  0.08243  0.50   43848    3615   42040   297592   6.79
  2013          85      0.09512  0.09080  0.50   40233    3654   38407   255552   6.35
  2013          86      0.10525  0.09999  0.50   36580    3658   34751   217146   5.94
  2013          87      0.11645  0.11004  0.50   32923    3623   31111   182395   5.54
  2013          88      0.12885  0.12105  0.50   29300    3547   27526   151284   5.16
  2013          89      0.14257  0.13308  0.50   25753    3428   24039   123758   4.81
  2013          90      0.15775  0.14622  0.50   22326    3265   20694    99719   4.47
  2013          91      0.17455  0.16054  0.50   19062    3061   17532    79026   4.15
  2013          92      0.19314  0.17613  0.50   16002    2819   14592    61495   3.84
  2013          93      0.21371  0.19308  0.50   13183    2546   11911    46903   3.56
  2013          94      0.23648  0.21147  0.50   10638    2250    9513    34993   3.29
  2013          95      0.26167  0.23140  0.50    8388    1941    7418    25480   3.04
  2013          96      0.28955  0.25293  0.50    6447    1631    5632    18063   2.80
  2013          97      0.32040  0.27616  0.50    4817    1331    4152    12431   2.58
  2013          98      0.35454  0.30116  0.50    3487    1050    2962     8280   2.37
  2013          99      0.39232  0.32798  0.50    2437     800    2037     5319   2.18
  2013         100      0.43413  0.35670  0.50    1638     585    1346     3282   2.00
  2013         101      0.48039  0.38735  0.50    1054     408     850     1937   1.84
  2013         102      0.53159  0.41997  0.50     646     271     510     1087   1.68
  2013         103      0.58825  0.45455  0.50     375     171     290      578   1.54
  2013         104      0.65094  0.49110  0.50     205     101     155      288   1.41
  2013         105      0.72032  0.52958  0.50     104      56      77      134   1.29
  2013         106      0.79709  0.56994  0.50      49      28      35       58   1.18
  2013         107      0.88205  0.61210  0.50      22      13      15       23   1.07
  2013         108      0.97607  0.65595  0.50       9       6       6        9   0.98
  2013         109      1.08011  0.70134  0.50       3       2       2        3   0.90
  2013         110+     1.19524  1.00000  0.84       1       1       1        1   0.84
  2014           0      0.00530  0.00528  0.14  100000     528   99547  8028084  80.28
  2014           1      0.00084  0.00084  0.50   99473      84   99431  7928538  79.71
  2014           2      0.00027  0.00027  0.50   99389      27   99376  7829107  78.77
  2014           3      0.00020  0.00020  0.50   99362      20   99353  7729732  77.79
  2014           4      0.00019  0.00019  0.50   99343      19   99334  7630380  76.81
  2014           5      0.00019  0.00019  0.50   99324      19   99315  7531047  75.82
  2014           6      0.00019  0.00019  0.50   99306      20   99296  7431732  74.84
  2014           7      0.00019  0.00019  0.50   99287      20   99277  7332437  73.85
  2014           8      0.00020  0.00020  0.50   99267      20   99257  7233160  72.87
  2014           9      0.00020  0.00020  0.50   99247      21   99237  7133903  71.88
  2014          10      0.00021  0.00021  0.50   99227      21   99217  7034666  70.89
  2014          11      0.00021  0.00021  0.50   99207      21   99196  6935450  69.91
  2014          12      0.00022  0.00022  0.50   99186      22   99175  6836254  68.92
  2014          13      0.00022  0.00022  0.50   99165      23   99154  6737079  67.94
  2014          14      0.00023  0.00023  0.50   99143      23   99131  6637926  66.95
  2014          15      0.00024  0.00024  0.50   99120      24   99108  6538795  65.97
  2014          16      0.00024  0.00024  0.50   99097      25   99085  6439688  64.98
  2014          17      0.00025  0.00025  0.50   99073      25   99060  6340603  64.00
  2014          18      0.00026  0.00026  0.50   99048      26   99035  6241544  63.02
  2014          19      0.00027  0.00027  0.50   99022      27   99008  6142510  62.03
  2014          20      0.00028  0.00028  0.50   98995      29   98981  6043502  61.05
  2014          21      0.00030  0.00030  0.50   98967      30   98952  5944522  60.07
  2014          22      0.00031  0.00031  0.50   98938      31   98922  5845570  59.08
  2014          23      0.00033  0.00033  0.50   98907      33   98891  5746648  58.10
  2014          24      0.00034  0.00034  0.50   98875      34   98858  5647758  57.12
  2014          25      0.00036  0.00036  0.50   98841      36   98823  5548901  56.14
  2014          26      0.00038  0.00038  0.50   98805      38   98786  5450078  55.16
  2014          27      0.00041  0.00041  0.50   98767      41   98747  5351293  54.18
  2014          28      0.00043  0.00043  0.50   98727      43   98705  5252547  53.20
  2014          29      0.00046  0.00046  0.50   98684      46   98661  5153842  52.23
  2014          30      0.00049  0.00049  0.50   98638      49   98614  5055181  51.25
  2014          31      0.00053  0.00053  0.50   98590      53   98564  4956567  50.27
  2014          32      0.00057  0.00057  0.50   98537      57   98509  4858004  49.30
  2014          33      0.00061  0.00061  0.50   98481      61   98451  4759496  48.33
  2014          34      0.00066  0.00066  0.50   98421      65   98389  4661045  47.36
  2014          35      0.00071  0.00071  0.50   98356      71   98321  4562657  46.39
  2014          36      0.00077  0.00077  0.50   98286      76   98248  4464336  45.42
  2014          37      0.00084  0.00084  0.50   98210      83   98169  4366088  44.46
  2014          38      0.00091  0.00091  0.50   98128      90   98084  4267919  43.49
  2014          39      0.00099  0.00099  0.50   98039      97   97991  4169836  42.53
  2014          40      0.00108  0.00108  0.50   97942     106   97890  4071846  41.57
  2014          41      0.00117  0.00117  0.50   97837     115   97780  3973957  40.62
  2014          42      0.00128  0.00128  0.50   97722     126   97660  3876178  39.67
  2014          43      0.00140  0.00140  0.50   97597     137   97529  3778519  38.72
  2014          44      0.00153  0.00153  0.50   97461     150   97386  3680990  37.77
  2014          45      0.00168  0.00168  0.50   97311     164   97230  3583605  36.83
  2014          46      0.00184  0.00184  0.50   97148     179   97059  3486375  35.89
  2014          47      0.00202  0.00202  0.50   96970     196   96872  3389317  34.95
  2014          48      0.00222  0.00221  0.50   96774     215   96667  3292445  34.02
  2014          49      0.00243  0.00243  0.50   96560     235   96443  3195778  33.10
  2014          50      0.00268  0.00267  0.50   96325     258   96196  3099336  32.18
  2014          51      0.00295  0.00294  0.50   96068     283   95926  3003140  31.26
  2014          52      0.00324  0.00324  0.50   95785     311   95630  2907214  30.35
  2014          53      0.00357  0.00356  0.50   95475     341   95305  2811585  29.45
